Sources,LitterType,Meand15N,SDd15N,n,Concd15N
Litter,2,0.003737479,0.003675714,3,3.1
Litter,1,0.009054112,0.003781185,3,2.6
Litter,3,0.007782404,0.003985071,3,3.3
Litter,4,0.003821401,0.003802255,3,2.2
Other,2,0.003661285,3.17E-06,4,1.5788262
Other,3,0.003661285,3.17E-06,4,1.5788262
Other,4,0.003661285,3.17E-06,4,1.5788262
Other,1,0.003661285,3.17E-06,4,1.5788262
