Sources,LitterType,Meand15N,SDd15N,n,Concd15N
Litter,2,0.003739677,1.26796E-05,3,3.1
Litter,1,0.009056563,0.000116895,3,2.6
Litter,3,0.007784818,0.000319427,3,3.3
Litter,4,0.003823562,0.000139187,3,2.2
Other,2,0.003693485,8.98E-07,4,1.5788262
Other,3,0.003693485,8.98E-07,4,1.5788262
Other,4,0.003693485,8.98E-07,4,1.5788262
Other,1,0.003693485,8.98E-07,4,1.5788262
