Sources,LitterType,Meand15N,SDd15N,n,Concd15N
Litter,2,0.003743536,1.26795E-05,3,3.1
Litter,1,0.009060381,0.000116894,3,2.6
Litter,3,0.007788646,0.000319425,3,3.3
Litter,4,0.00382742,0.000139186,3,2.2
Soil,2,0.003657313,8.98257E-07,4,1.8
Soil,3,0.003657313,8.98257E-07,4,1.8
Soil,4,0.003657313,8.98257E-07,4,1.8
Soil,1,0.003657313,8.98257E-07,4,1.8
