Label,Herbivory,Isopod,L0,M0,W0,N0,S0,H0,G0,P0,D0,L150,M150,W150,N150,S150,H150,G150,P150,D150,L,M,W,N,S,H,G,P,D,L15,M15,W15,N15,S15,H15,G15,P15,D15
1,1,0,233.9671576,39.27854052,0.449492958,7.432405257,4158.78488,0.107317021,0.10286882,0.210185841,0,1.820863732,0.1441112,0.001649806,0.027229585,0.015293455,0.000391067,0.000375258,0.000766326,0,30.77883976,38.5740119,0.449492958,5.691529437,4158.78488,95.64308733,84.59535062,180.2384379,0,0.23657844,0.145577906,0.001800639,0.021219268,15.52556023,0.374313118,0.348319832,0.722632949,0
1,0,1,184.2047013,35.17432318,0.943312551,5.595513566,3084.972112,0.096982789,0.163473024,0.260455813,0,1.667835886,0.129053011,0.003462307,0.020499893,0.011344632,0.000353409,0.000596338,0.000949747,0,3.897691776,30.03993377,0.943312551,5.208782077,3084.972112,64.16421945,106.1452495,170.309469,0,0.026924688,0.113537114,0.00491939,0.019347412,11.50899334,0.259553067,0.42402431,0.683577376,0
0,0,1,153.8192427,30.50059931,3.1553548,6.4800237,3727.694512,0.083468794,0.220898636,0.30436743,0,0.587778825,0.111905328,0.011581323,0.023740411,0.01370817,0.000304163,0.000805823,0.001109986,0,4.70815824,32.04075156,3.1553548,5.469332413,3727.694512,28.6583898,59.72023305,88.37862286,0,0.026187031,0.117721207,0.011763095,0.020034465,13.70200339,0.105203303,0.219162254,0.324365557,0
0,1,1,213.8014781,25.50520869,2.855394934,6.051003212,2847.692416,0.091418203,0.029760329,0.121178532,0,0.799047276,0.093577465,0.010480359,0.022168638,0.010472063,0.000333131,0.000108564,0.000441695,0,4.173485544,27.57193591,2.855394934,6.718897545,2847.692416,98.02795936,38.42971603,136.4576754,0,0.015274674,0.101167191,0.01054717,0.0246253,10.47185655,0.358543562,0.141073139,0.499616701,0
0,1,0,213.8014781,38.20917218,0,6.280442527,3513.509248,0.345004349,0.320305024,0.665309372,0,0.799047276,0.140187736,0,0.023009219,0.012920528,0.001257209,0.00116845,0.002425659,0,4.35194214,26.18959312,0,5.496024381,3513.509248,176.3405016,94.04712747,270.3876291,0,0.016032513,0.096137107,0,0.020145265,12.92280082,0.647418695,0.344751103,0.992169798,0
0,0,0,153.8192427,32.16482257,0.99381243,4.746453962,2476.360208,0.196430594,0.100094133,0.296524727,0,0.587778825,0.118011289,0.003647661,0.017389252,0.009106531,3.66E-06,7.76E-06,1.14E-05,0,8.173930383,28.08481476,0.99381243,5.620140706,2476.360208,45.00041344,80.22582586,125.2262393,0,0.029974054,0.103066063,0.003696418,0.020591189,9.103488963,0.164709504,0.293889288,0.458598792,0
0,0,0,153.8192427,35.07275947,1.099139202,5.516612403,3733.736544,0.197145342,0.100452821,0.297598163,0,0.587778825,0.128680378,0.004034249,0.020210828,0.013730389,0.000718405,0.000366445,0.00108485,0,6.040720845,34.86664576,1.099139202,5.730995942,3733.736544,96.1737828,28.83850509,125.0122879,0,0.031378398,0.128095891,0.004121618,0.02101852,13.73235176,0.3525066,0.106085921,0.458592522,0
0,0,1,153.8192427,28.97165606,0.386482612,3.385845469,3361.464496,0.262727966,0.378883785,0.641611751,0,0.587778825,0.106295704,0.001418535,0.012404486,0.012361401,0.000957391,0.001382141,0.002339532,0,3.942034824,31.56483833,0.386482612,5.441573888,3361.464496,58.64006624,71.26010736,129.9001737,0,0.014433307,0.115866932,0,0.019959237,12.35398976,0.214533189,0.260844263,0.475377451,0
0,1,1,213.8014781,24.08147114,2.788977993,4.826067955,2814.524608,0.085058676,0.054451249,0.139509925,0,0.799047276,0.088353835,0.010236585,0.017680929,0.010350092,0.000309957,0.000198634,0.000508591,0,8.845858488,27.37021851,2.788977993,4.010393209,2814.524608,74.04930473,41.5668388,115.6161435,0,0.032792611,0.100387273,0.010259221,0.014685452,10.34742976,0.271227659,0.15236155,0.423589209,0
0,1,0,213.8014781,35.90801051,0,7.344716647,3240.947104,0.263522907,0.178197274,0.441720181,0,0.799047276,0.131744877,0,0.026908326,0.011918212,0.000960288,0.000650051,0.001610339,0,8.408013786,28.48258018,0,4.86617558,3240.947104,82.85246762,64.94022919,147.7926968,0,0.030941785,0.104538467,0,0.017830021,11.91444455,0.302882831,0.238118465,0.541001297,0
1,0,0,184.2047013,43.21794226,0.110423603,5.328554712,4012.043104,0.194363049,34.15805091,34.35241396,0,1.667835886,0.158564688,0.000405296,0.019521854,0.014753829,0.000708266,0.124606144,0.12531441,0,33.21652176,34.77217564,0.110423603,3.941215004,4012.043104,0.75460287,149.2270367,149.9816395,0,0.250082645,0.131708003,0,0.014611487,15.08482801,0.003098321,0.6016396,0.604737921,0
