d15N,LitterType
0.003678487,2
0.00368493,2
0.003693689,2
0.003693769,2
0.003697266,4
0.003702812,4
0.003715155,3
0.003719245,4
0.003727979,4
0.00374986,4
0.003787085,3
0.003857324,1
0.003897283,3
0.003915528,3
0.004005934,3
0.004018653,1
0.004131706,3
0.004150718,1
0.004435546,1
0.004525039,3
0.004526513,1
0.004630609,3
0.004651462,1
0.005215015,1
